X1,X2,X3,X4,X5,X6,y
107.566,2,AGUIX,left cortex,26375,3.23,0.6617585
100.14,3,AGUIX,left cortex,26201,3.1,0.5848485
118.702,3,AGUIX,left cortex,26608,2.9,0.7982839
156.926,3,AGUIX,left cortex,26599,3.22,1.453242
117.181,3,AGUIX,left cortex,26285,2.7,0.792406
122.664,3,AGUIX,left cortex,26684,3.52,1.067367
106.312,3,AGUIX,left cortex,26375,3.23,0.6934646
111.796,4,AGUIX,left cortex,26201,3.1,0.5931769
122.822,4,AGUIX,left cortex,26608,2.9,0.8285179
158.988,4,AGUIX,left cortex,26599,3.22,1.559394
126.952,4,AGUIX,left cortex,26285,2.7,1.065038
149.181,4,AGUIX,left cortex,26684,3.52,1.295464
138.081,4,AGUIX,left cortex,26375,3.23,1.215118
84.931,5,AGUIX,left cortex,26201,3.1,0.2910655
98.704,5,AGUIX,left cortex,26608,2.9,0.3935101
144.799,5,AGUIX,left cortex,26599,3.22,1.455606
129.456,5,AGUIX,left cortex,26285,2.7,1.107845
137.871,5,AGUIX,left cortex,26684,3.52,1.236469
112.564,5,AGUIX,left cortex,26375,3.23,0.6529921
58.305,1,GBCA,left medulla,26201,3.1,-0.103845732
79.241,1,GBCA,left medulla,26608,2.9,0.282002985
76.838,1,GBCA,left medulla,26599,3.22,0.237715898
57.311,1,GBCA,left medulla,26285,2.7,-0.122165068
65.383,1,GBCA,left medulla,26684,3.52,0.026601212
50.197,1,GBCA,left medulla,26375,3.23,-0.253275489
90.634,2,GBCA,left medulla,26201,3.1,0.491975016
136.903,2,GBCA,left medulla,26608,2.9,1.34470879
22.277,2,GBCA,left medulla,26599,3.22,-0.767838738
125.003,2,GBCA,left medulla,26285,2.7,1.125392792
122.134,2,GBCA,left medulla,26684,3.52,1.072517363
82.633,2,GBCA,left medulla,26375,3.23,0.34451726
141.09,3,GBCA,left medulla,26201,3.1,1.421874847
150.303,3,GBCA,left medulla,26608,2.9,1.591669662
170.74,3,GBCA,left medulla,26599,3.22,1.968321851
129.953,3,GBCA,left medulla,26285,2.7,1.216620875
141.176,3,GBCA,left medulla,26684,3.52,1.42345982
112.767,3,GBCA,left medulla,26375,3.23,0.899884342
123.454,4,GBCA,left medulla,26201,3.1,1.096844852
103.821,4,GBCA,left medulla,26608,2.9,0.735010315
118.749,4,GBCA,left medulla,26599,3.22,1.010132098
114.141,4,GBCA,left medulla,26285,2.7,0.925207046
111.632,4,GBCA,left medulla,26684,3.52,0.878966388
104.28,4,GBCA,left medulla,26375,3.23,0.743469647
110.693,5,GBCA,left medulla,26201,3.1,0.861660697
98.574,5,GBCA,left medulla,26599,3.22,0.638308547
85.433,5,GBCA,left medulla,26285,2.7,0.396121024
82.715,5,GBCA,left medulla,26684,3.52,0.346028513
97.39,5,GBCA,left medulla,26375,3.23,0.616487527
83.415,1,AGUIX,left medulla,26201,3.1,0.1463187
92.273,1,AGUIX,left medulla,26608,2.9,0.3713527
77.857,1,AGUIX,left medulla,26599,3.22,0.1486607
71.524,1,AGUIX,left medulla,26285,2.7,0.1545865
80.655,1,AGUIX,left medulla,26375,3.23,0.5114407
148.436,2,AGUIX,left medulla,26201,3.1,0.06965517
186.688,2,AGUIX,left medulla,26608,2.9,1.089915
106.76,2,AGUIX,left medulla,26599,3.22,2.250226
70.292,2,AGUIX,left medulla,26285,2.7,0.5702703
124.666,2,AGUIX,left medulla,26684,3.52,0.5301863
107.566,2,AGUIX,left medulla,26375,3.23,0.8992273
173.103,3,AGUIX,left medulla,26201,3.1,1.872414
173.242,3,AGUIX,left medulla,26608,2.9,1.812881
178.88,3,AGUIX,left medulla,26599,3.22,1.937744
143.098,3,AGUIX,left medulla,26285,2.7,1.169392
151.143,3,AGUIX,left medulla,26684,3.52,1.767064
140.109,3,AGUIX,left medulla,26375,3.23,1.300136
237.851,4,AGUIX,left medulla,26201,3.1,2.909885
166.831,4,AGUIX,left medulla,26608,2.9,1.543136
211.515,4,AGUIX,left medulla,26599,3.22,2.572707
200.24,4,AGUIX,left medulla,26285,2.7,2.24473
172.986,4,AGUIX,left medulla,26684,3.52,1.995131
187.282,4,AGUIX,left medulla,26375,3.23,2.110091
168.862,5,AGUIX,left medulla,26201,3.1,1.628046
110.797,5,AGUIX,left medulla,26608,2.9,0.6077966
191.011,5,AGUIX,left medulla,26599,3.22,2.349098
226.196,5,AGUIX,left medulla,26285,2.7,2.634189
179.551,5,AGUIX,left medulla,26684,3.52,2.251408
148.841,5,AGUIX,left medulla,26375,3.23,1.286409
55.347,1,GBCA,left pelvis,26201,3.1,-0.136754762
64.267,1,GBCA,left pelvis,26608,2.9,0.026907536
67.09,1,GBCA,left pelvis,26599,3.22,0.078703351
61.009,1,GBCA,left pelvis,26285,2.7,-0.032869568
59.286,1,GBCA,left pelvis,26684,3.52,-0.064482812
49.353,1,GBCA,left pelvis,26375,3.23,-0.246731423
63.554,2,GBCA,left pelvis,26201,3.1,0.013825561
112.944,2,GBCA,left pelvis,26608,2.9,0.920022973
-19.43,2,GBCA,left pelvis,26599,3.22,-1.508747551
113.197,2,GBCA,left pelvis,26285,2.7,0.924664964
87.493,2,GBCA,left pelvis,26684,3.52,0.453053337
62.826,2,GBCA,left pelvis,26375,3.23,0.000468369
86.808,3,GBCA,left pelvis,26201,3.1,0.440485099
229.3,3,GBCA,left pelvis,26608,2.9,3.054898576
247.875,3,GBCA,left pelvis,26599,3.22,3.395708799
196.916,3,GBCA,left pelvis,26285,2.7,2.460723703
171.268,3,GBCA,left pelvis,26684,3.52,1.990139552
104.898,3,GBCA,left pelvis,26375,3.23,0.772396644
216.86,4,GBCA,left pelvis,26201,3.1,2.826652052
179.056,4,GBCA,left pelvis,26608,2.9,2.13303215
145.385,4,GBCA,left pelvis,26599,3.22,1.51524367
161.446,4,GBCA,left pelvis,26285,2.7,1.809927546
154.151,4,GBCA,left pelvis,26684,3.52,1.676080408
190,4,GBCA,left pelvis,26375,3.23,2.333830378
179.808,5,GBCA,left pelvis,26201,3.1,2.146829689
150.74,5,GBCA,left pelvis,26599,3.22,1.613496092
141.836,5,GBCA,left pelvis,26285,2.7,1.450127358
136.893,5,GBCA,left pelvis,26684,3.52,1.359434226
195.175,5,GBCA,left pelvis,26375,3.23,2.428780198
56.189,1,AGUIX,left pelvis,26201,3.1,0.000176211
71.1,1,AGUIX,left pelvis,26608,2.9,0.01622222
78.056,1,AGUIX,left pelvis,26599,3.22,0.02306452
69.358,1,AGUIX,left pelvis,26285,2.7,0.006010363
67.903,1,AGUIX,left pelvis,26375,3.23,0.04881944
67.919,2,AGUIX,left pelvis,26201,3.1,0.1202963
98.726,2,AGUIX,left pelvis,26608,2.9,0.3377885
135.357,2,AGUIX,left pelvis,26599,3.22,1.279481
68.856,2,AGUIX,left pelvis,26285,2.7,0.01122995
82.877,2,AGUIX,left pelvis,26684,3.52,0.1587654
96.26,2,AGUIX,left pelvis,26375,3.23,0.4991698
77.585,3,AGUIX,left pelvis,26201,3.1,0.3940741
167.769,3,AGUIX,left pelvis,26608,2.9,1.918173
240.513,3,AGUIX,left pelvis,26599,3.22,3.191948
94.406,3,AGUIX,left pelvis,26285,2.7,0.3900535
142.696,3,AGUIX,left pelvis,26684,3.52,1.418722
218.521,3,AGUIX,left pelvis,26375,3.23,2.344302
225.548,4,AGUIX,left pelvis,26201,3.1,2.788889
304.115,4,AGUIX,left pelvis,26608,2.9,4.000288
370.753,4,AGUIX,left pelvis,26599,3.22,5.395325
233.904,4,AGUIX,left pelvis,26285,2.7,2.788235
225,4,AGUIX,left pelvis,26684,3.52,2.961278
320.649,4,AGUIX,left pelvis,26375,3.23,4.537509
190.674,5,AGUIX,left pelvis,26201,3.1,2.291852
159.289,5,AGUIX,left pelvis,26608,2.9,1.477885
378.312,5,AGUIX,left pelvis,26599,3.22,5.372208
600.904,5,AGUIX,left pelvis,26285,2.7,8.989091
347.087,5,AGUIX,left pelvis,26684,3.52,5.098346
412.589,5,AGUIX,left pelvis,26375,3.23,5.691849
65.294,1,GBCA,right cortex,26201,3.1,-0.158323396
147.872,1,GBCA,right cortex,26608,2.9,1.425126519
76.463,1,GBCA,right cortex,26599,3.22,0.055844446
106.276,1,GBCA,right cortex,26285,2.7,0.627514774
71.522,1,GBCA,right cortex,26684,3.52,-0.038900232
53.258,1,GBCA,right cortex,26375,3.23,-0.38911614
138.49,2,GBCA,right cortex,26201,3.1,1.245224765
109.161,2,GBCA,right cortex,26608,2.9,0.682835235
140.657,2,GBCA,right cortex,26599,3.22,1.286777429
124.414,2,GBCA,right cortex,26285,2.7,0.975314607
109.368,2,GBCA,right cortex,26684,3.52,0.686804502
89.771,2,GBCA,right cortex,26375,3.23,0.311028048
101.518,3,GBCA,right cortex,26201,3.1,0.536279158
100.969,3,GBCA,right cortex,26608,2.9,0.525751972
129.926,3,GBCA,right cortex,26599,3.22,1.081008326
124.837,3,GBCA,right cortex,26285,2.7,0.983425718
104.012,3,GBCA,right cortex,26684,3.52,0.584102115
89.846,3,GBCA,right cortex,26375,3.23,0.312466188
98.041,4,GBCA,right cortex,26201,3.1,0.469606977
89.418,4,GBCA,right cortex,26608,2.9,0.304259202
82.407,4,GBCA,right cortex,26599,3.22,0.169821853
97.088,4,GBCA,right cortex,26285,2.7,0.451333009
94.795,4,GBCA,right cortex,26684,3.52,0.407364268
85.523,4,GBCA,right cortex,26375,3.23,0.229571786
78.944,5,GBCA,right cortex,26201,3.1,0.103418125
77.446,5,GBCA,right cortex,26599,3.22,0.074693671
82.447,5,GBCA,right cortex,26285,2.7,0.170588861
71.151,5,GBCA,right cortex,26684,3.52,-0.046014232
76.088,5,GBCA,right cortex,26375,3.23,0.048653745
110.521,1,AGUIX,right cortex,26201,3.1,0.6306352
141.22,1,AGUIX,right cortex,26608,2.9,0.9432258
105.342,1,AGUIX,right cortex,26599,3.22,0.5545178
88.515,1,AGUIX,right cortex,26285,2.7,0.3517179
133.169,1,AGUIX,right cortex,26375,3.23,0.8358991
102.286,2,AGUIX,right cortex,26201,3.1,0.5469785
117.467,2,AGUIX,right cortex,26608,2.9,0.6042186
114.382,2,AGUIX,right cortex,26599,3.22,0.6559881
120.866,2,AGUIX,right cortex,26285,2.7,0.7475919
160.041,2,AGUIX,right cortex,26684,3.52,1.531062
116.114,2,AGUIX,right cortex,26375,3.23,0.6672651
96.909,3,AGUIX,right cortex,26201,3.1,0.3271302
119.084,3,AGUIX,right cortex,26608,2.9,0.7696069
143.028,3,AGUIX,right cortex,26599,3.22,1.245557
124.578,3,AGUIX,right cortex,26285,2.7,0.8559905
134.394,3,AGUIX,right cortex,26684,3.52,1.147156
115.691,3,AGUIX,right cortex,26375,3.23,0.4929436
105.139,4,AGUIX,right cortex,26201,3.1,0.5815929
125.096,4,AGUIX,right cortex,26608,2.9,0.60186
147.7,4,AGUIX,right cortex,26599,3.22,1.301605
131.51,4,AGUIX,right cortex,26285,2.7,1.079146
107.6,4,AGUIX,right cortex,26684,3.52,0.633875
144.792,4,AGUIX,right cortex,26375,3.23,1.132088
84.035,5,AGUIX,right cortex,26201,3.1,0.1092288
94.987,5,AGUIX,right cortex,26608,2.9,0.2722148
148.721,5,AGUIX,right cortex,26599,3.22,1.232481
138.889,5,AGUIX,right cortex,26285,2.7,1.158648
87.881,5,AGUIX,right cortex,26684,3.52,0.36675
114.067,5,AGUIX,right cortex,26375,3.23,0.5673695
59.986,1,GBCA,right medulla,26201,3.1,-0.136684758
90.807,1,GBCA,right medulla,26608,2.9,0.423641207
57.237,1,GBCA,right medulla,26599,3.22,-0.186661595
79,1,GBCA,right medulla,26285,2.7,0.208989876
58.032,1,GBCA,right medulla,26684,3.52,-0.17220849
45.672,1,GBCA,right medulla,26375,3.23,-0.396913364
81.733,2,GBCA,right medulla,26201,3.1,0.258675833
123.249,2,GBCA,right medulla,26608,2.9,1.013436962
153.118,2,GBCA,right medulla,26599,3.22,1.556455562
133.529,2,GBCA,right medulla,26285,2.7,1.200327424
101.567,2,GBCA,right medulla,26684,3.52,0.619258072
70.849,2,GBCA,right medulla,26375,3.23,0.060804647
132.804,3,GBCA,right medulla,26201,3.1,1.18714692
130.357,3,GBCA,right medulla,26608,2.9,1.142660445
181.286,3,GBCA,right medulla,26599,3.22,2.068549971
146.856,3,GBCA,right medulla,26285,2.7,1.442612364
